Category,Subcategories
Beans & Legumes,"Baked Beans, Black Beans, Chickpeas, Edamame, Green Snap Beans, Lentils, Miso, Refried Beans, Soybeans, Tofu"
Beverages,"Coffee, Energy Drinks, Fruit Juice, Milk, Soda, Tea, Water"
Breads & Cereals,"Bagels, Bread, Breakfast Items, Cereal, Granola, Oats, Rice, Wheat"
"Cheese, Milk & Dairy","Cheese, Cream, Milk, Yogurt"
Eggs,"Egg Whites, Eggs, Omelets, Scrambled Eggs"
Fast Food,"Burgers, Fast Food Pizza, Fried Chicken, Nachos, Tacos"
Fish & Seafood,"Fish, Lobster, Salmon, Sardines, Shrimp, Tuna"
Fruit,"Apples, Bananas, Berries, Citrus Fruit, Grapes, Melons, Peaches, Pears, Pineapple, Plums"
Meat,"Beef, Chicken, Duck, Ham, Lamb, Pork, Turkey, Veal, Venison"
Nuts & Seeds,"Almonds, Cashews, Chia Seeds, Flaxseed, Peanuts, Pecans, Pistachios, Pumpkin Seeds, Sunflower Seeds, Walnuts"
"Pasta, Rice & Noodles","Couscous, Macaroni, Noodles, Pasta, Rice, Spaghetti"
Salads,"Caesar Salad, Chicken Salad, Coleslaw, Egg Salad, Greek Salad, Tuna Salad, Vegetable Salad"
"Sauces, Spices & Spreads","Butter, Gravy, Honey, Jams, Mayonnaise, Mustard, Peanut Butter, Salad Dressing, Sauces, Spices"
Snacks,"Crackers, Granola Bars, Popcorn, Pretzels, Trail Mix"
Soups,"Chicken Soup, Miso Soup, Tomato Soup, Vegetable Soup"
"Sweets, Candy & Desserts","Brownies, Cakes, Chocolate, Cookies, Ice Creams, Muffins, Pies, Puddings"
Vegetables,"Broccoli, Carrots, Corn, Cucumbers, Lettuce, Mushrooms, Onions, Peppers, Potatoes, Tomatoes"
Other,"Alfalfa, Almond Butter, Almond Milk, Apple Cider, Apple Pie, Barley, Beverages, Bison, Blueberry Pie, Bread Crumbs, Breakfast Items, Brown Sugar, Bulgur, Capers, Carrot Cake, Casseroles, Challah, Champagne, Cherry Pie, Chilaquiles, Chimichangas, Chocolate Cake, Chocolate Chip Cookies, Chow Mein, Cobbler, Coffee Creamer, Collards, Corn Dogs, Cornmeal, Croutons, Desserts, Dumplings, Egg Rolls, Eggnog, Empanadas, Falafel, Fish Oil, Flour, French Toast, Fritters, Frostings, Frozen Drinks, Fruit, Fruit Cocktail, Gelatin, Goulash, Grape Juice, Grapefruit Juice, Grits, Gyros, Hominy, Horseradish, Hot Chocolate, Lo Mein, Malt Drinks, Meatless Foods, Melt Sandwiches, Mousse, Nectar, Nougat, Nutrition Drinks, Pate, Pecan Pie, Pie Crust, Pot Pies, Potato Skins, Protein Powder, Quiche, Raisin Bran, Red Potatoes, Rice Noodles, Roasted Potatoes, Rum, Samosas, Sandwich Cookies, Sauerkraut, Seaweed, Shallots, Sherbet, Sides, Snacks, Snow Peas, Soy Yogurt, Spreads, Spring Rolls, Stir Frys, Stuffing, Sun-Dried Tomatoes, Supplements, Tabouli, Taco Shells, Tamales, Taquitos, Tempeh, Tempura, Toppings, Turnover, Vegetables, Water Chestnuts"
