Category,Subcategories
Beans & Legumes,"Legumes,Baked Beans,Beans,Black Beans,Chickpeas,Green Beans,Kidney Beans,Lentils,Lima Beans,Pinto Beans,Quinoa,Refried Beans,Tofu"
Beverages,"Beverages,Alcohol,Apple Juice,Beer,Cappuccino,Chocolate Milk,Cocktails,Cocoa,Coffee,Cranberry Juice,Drink Mixes,Energy Drinks,Fruit Punch,Ice Cream Sodas,Iced Coffee,Iced Tea,Juice,Latte,Lemonade,Milk Shakes,Orange Juice,Red Wine,Root Beer,Smoothies,Sodas,Soy Milk,Tea,Vegetable Juice,Vodka,Water,White Wine,Wine"
Breads & Cereals,"Breads,Cereals,Bagels,Biscuits,Bread,Breadsticks,Buns,Cereal,Cornbread,Croissants,English Muffins,Flatbread,Focaccia,Garlic Bread,Granola,Muesli,Multigrain Bread,Naan,Oatmeal,Oats,Pita Bread,Potato Bread,Raisin Bread,Rolls,Rye Bread,Scones,Sourdough Bread,Toast,Tortillas,Wheat Bread,White Bread,Whole Wheat Bread,Wraps"
"Cheese, Milk & Dairy","Breads,Cereals,Bagels,Biscuits,Bread,Breadsticks,Buns,Cereal,Cornbread,Croissants,English Muffins,Flatbread,Focaccia,Garlic Bread,Granola,Muesli,Multigrain Bread,Naan,Oatmeal,Oats,Pita Bread,Potato Bread,Raisin Bread,Rolls,Rye Bread,Scones,Sourdough Bread,Toast,Tortillas,Wheat Bread,White Bread,Whole Wheat Bread,Wraps"
Eggs,"Egg Whites,Egg Yolks,Eggs,Fried Eggs,Hard Boiled Eggs,Omelets,Poached Eggs,Scrambled Eggs"
Fast Food,"Fast Food,Burgers,Burritos,Calzones,Cheese Pizza,Cheeseburgers,Chicken Nuggets,Curries,Enchiladas,Fajitas,French Fries,Hamburgers,Hash Browns,Hot Dogs,Nachos,Onion Rings,Pepperoni Pizza,Pizza,Quesadillas,Tacos,Tostadas,Veggie Burgers"
Fish & Seafood,"Anchovies,Calamari,Carp,Catfish,Clams,Cod,Crab,Crawfish,Eel,Fish,Flounder,Haddock,Halibut,Herring,Lobster,Mackerel,Mahi Mahi,Mussels,Octopus,Oysters,Salmon,Sardines,Scallops,Seafood,Shrimp,Smoked Salmon,Snapper,Squid,Swordfish,Tilapia,Trout,Tuna"
Fruit,"Fruit,Apples,Apricots,Avocados,Bananas,Berries,Blackberries,Blueberries,Cantaloupe,Cherries,Coconuts,Cranberries,Dates,Dried Fruit,Figs,Fruit Salad,Grapefruits,Grapes,Honeydew Melons,Kiwifruit,Litchis,Mandarin Oranges,Mangos,Melons,Nectarines,Oranges,Papayas,Peaches,Pears,Pineapples,Plums,Prunes,Raisins,Raspberries,Strawberries,Watermelons"
Meat,"Meat,Bacon,Beef,Bologna,Brisket,Chicken,Chicken Breast,Chicken Drumsticks,Chicken Thighs,Chicken Wings,Corned Beef,Duck,Fried Chicken,Grilled Chicken,Ground Beef,Ground Chicken,Ground Pork,Ground Turkey,Ham,Lamb,Lamb Chops,Meatballs,Meatloaf,Pastrami,Pepperoni,Pork,Pork Chops,Ribs,Roast Beef,Roast Chicken,Roast Pork,Roast Turkey,Salami,Sausages,Steak,Turkey,Turkey Bacon,Turkey Breast,Veal"
Nuts & Seeds,"Almonds,Brazil Nuts,Cashews,Chestnuts,Macadamia Nuts,Mixed Nuts,Nuts,Peanuts,Pecans,Pine Nuts,Pistachios,Seeds,Soy Nuts,Sunflower Seeds,Walnuts"
